,Name,Price,Rating
92,"realme C25_Y (Metal Grey, 128 GB)",11999,4.4
93,"realme Narzo 50 (Speed Black, 128 GB)",15499,4.4
94,"realme Narzo 50 (Speed Blue, 128 GB)",15499,4.4
95,"POCO M4 Pro (Yellow, 128 GB)",13499,4.3
96,"Infinix Smart 6 (Polar Black, 64 GB)",6999,4.4
97,"realme Narzo 50 (Speed Black, 128 GB)",15499,4.4
98,"realme Narzo 50 (Speed Blue, 128 GB)",15499,4.4
99,"APPLE iPhone 11 (White, 64 GB)",41999,4.6
100,"REDMI Note 10 Pro Max (Dark Night, 128 GB)",17999,4.3
101,"Infinix Note 12 (Force Black, 128 GB)",12999,4.3
102,"vivo T1 5G (Rainbow Fantasy, 128 GB)",19990,4.3
103,"vivo T1 5G (Starlight Black, 128 GB)",19990,4.3
104,"realme 9i (Prism Blue, 128 GB)",15999,4.5
105,"realme 9i (Prism Blue, 64 GB)",13499,4.5
106,"realme 9i (Prism Black, 64 GB)",13499,4.5
107,"realme C35 (Glowing Green, 128 GB)",12999,4.4
108,"realme 9i (Prism Black, 128 GB)",15999,4.5
109,"MOTOROLA G60 (Soft Silver, 128 GB)",14999,4.2
110,"Nothing Phone (1) (Black, 256 GB)",38999,4.4
111,"REDMI Note 10T 5G (Chromium White, 128 GB)",13999,4.3
112,"Redmi 9A Sport (Metallic Blue, 32 GB)",7729,4.2
113,"Redmi 9A Sport (Coral Green, 32 GB)",7671,4.2
114,"POCO M4 Pro 5G (Cool Blue, 64 GB)",12999,4.3
115,"realme 9 5G SE (Azure Glow, 128 GB)",19999,4.3
116,"realme 9 5G SE (Starry Glow, 128 GB)",19999,4.3
117,"realme 9 5G SE (Azure Glow, 128 GB)",22999,4.2
118,"realme C25_Y (Metal Grey, 64 GB)",10999,4.4
119,"realme 9i (Prism Black, 128 GB)",14999,4.5
120,"MOTOROLA G51 5G (Bright Silver, 64 GB)",12249,4.1
121,"realme 9i (Prism Black, 128 GB)",14999,4.5
122,"realme 9i (Prism Blue, 128 GB)",14999,4.5
123,"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",11443,4.8
124,"POCO M4 Pro 5G (Cool Blue, 64 GB)",12999,4.3
125,"POCO X4 Pro 5G (Laser Blue, 128 GB)",16999,4.1
126,"Redmi 9A Sport (Coral Green, 32 GB)",6780,4.2
127,"OPPO F19 (Midnight Blue, 128 GB)",14990,4.3
128,"OPPO F19 (Prism Black, 128 GB)",14990,4.3
129,"OPPO Reno8 5G (Shimmer Black, 128 GB)",29999,4.4
130,"MOTOROLA g31 (Meteorite Grey, 128 GB)",12499,4.1
131,"Redmi 9A Sport (Carbon Black, 32 GB)",7675,4.2
132,"Redmi 9A Sport (Carbon Black, 32 GB)",6809,4.2
133,"Redmi 9A Sport (Metallic Blue, 32 GB)",6788,4.2
134,"MOTOROLA g31 (Baby Blue, 128 GB)",12499,4.1
135,"REDMI 10 Prime 2022 (Astral White, 64 GB)",11348,4.2
136,"POCO X4 Pro 5G (Yellow, 128 GB)",16999,4.1
137,"POCO M4 5G (Power Black, 128 GB)",12999,4.2
138,LAVA A3,1212,4.2
139,"Nothing Phone (1) (White, 256 GB)",35999,4.3
140,"Infinix Hot 12 Pro (Electric Blue, 128 GB)",11999,4.4
141,"realme 9 (Sunburst Gold, 128 GB)",18999,4.4
142,"realme 9 (Stargaze White, 128 GB)",18999,4.4
143,"realme 9 (Meteor Black, 128 GB)",17999,4.4
144,"realme C35 (Glowing Black, 128 GB)",12999,4.4
145,"realme 9 5G SE (Starry Glow, 128 GB)",22999,4.2
146,"vivo T1 44W (Midnight Galaxy, 128 GB)",17999,4.3
147,"REDMI 10 Prime 2022 (Bifrost Blue, 64 GB)",11478,4.2
148,"POCO X4 Pro 5G (Laser Black, 128 GB)",16999,4.1
149,"OPPO Reno8 5G (Shimmer Gold, 128 GB)",29999,4.4
150,"POCO M4 Pro 5G (Power Black, 128 GB)",14999,4.3
151,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",10499,4.3
152,"APPLE iPhone 11 (Green, 64 GB)",43999,4.6
153,LAVA A1 Josh 2021,1055,4.1
154,"Nothing Phone (1) (Black, 128 GB)",32999,4.3
155,"Infinix Hot 11 2022 (Sunset Gold, 64 GB)",8999,4.2
156,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",16999,4.1
157,"realme C11 2021 (Cool Grey, 32 GB)",7499,4.4
158,"MOTOROLA g22 (Iceberg Blue, 64 GB)",9999,3.6
159,"realme C11 2021 (Cool Blue, 32 GB)",7499,4.4
160,"realme C11 2021 (Cool Grey, 64 GB)",8999,4.3
161,"realme C25Y (Glacier Blue, 64 GB)",10999,4.4
